Wall time,Step,Value
1607133342.819682,845,32.82169723510742
1607133751.605808,869,26.646400451660156
1607133785.634574,871,27.899890899658203
1607133870.818511,876,35.36874008178711
1607133904.984276,878,23.14312744140625
1607133973.134957,882,34.476844787597656
1607134007.200112,884,29.47224235534668
1607134143.211777,892,25.05020523071289
1607134245.403659,898,31.479324340820312
1607134314.872127,902,36.85940170288086
1607134433.652968,909,27.299909591674805
1607134467.62721,911,29.223125457763672
1607134569.58652,917,25.5566349029541
1607134603.617165,919,20.183841705322266
1607134654.521771,922,20.968441009521484
1607134705.513003,925,22.30596923828125
1607134841.3578,933,21.34765625
1607134858.28,934,15.246538162231445
1607134909.416964,937,46.86248016357422
1607135028.453229,944,28.654029846191406
1607135079.477107,947,22.350210189819336
1607135232.402822,956,31.58948516845703
1607135300.372728,960,19.60504150390625
1607135351.350278,963,21.194965362548828
1607135368.29633,964,24.61549186706543
1607135521.466213,973,37.492794036865234
1607135538.55172,974,30.317720413208008
1607135606.490308,978,25.27041244506836
1607135640.543583,980,26.148900985717773
1607135657.604088,981,15.324125289916992
1607135725.67664,985,33.578514099121094
1607135742.711371,986,39.75438690185547
1607135793.831361,989,20.367280960083008
1607135810.888621,990,26.92083168029785
1607135946.67485,998,32.35138702392578
1607136014.605563,1002,43.80075454711914
1607136048.624322,1004,29.38677215576172
1607136082.737939,1006,24.491806030273438
1607136099.818342,1007,28.621013641357422
1607136253.448747,1016,20.561904907226562
1607136304.432043,1019,21.326892852783203
1607136440.610606,1027,21.812959671020508
1607136474.559895,1029,26.61507225036621
1607136644.577825,1039,20.58235740661621
1607136763.313281,1046,16.040687561035156
1607136984.026542,1059,20.29037857055664
1607137086.053868,1065,20.011356353759766
1607137136.989901,1068,25.126619338989258
1607137170.919716,1070,29.879716873168945
1607137238.792943,1074,26.93604850769043
1607137306.802907,1078,22.028745651245117
1607137340.766516,1080,16.02008628845215
1607137425.656659,1085,22.10873031616211
1607137442.721441,1086,28.66632652282715
1607137595.743992,1095,18.90549087524414
1607137698.008108,1101,35.00023651123047
1607137766.23473,1105,33.4597282409668
1607137783.120844,1106,19.097064971923828
1607137953.325267,1116,22.967735290527344
1607138038.412471,1121,19.502452850341797
1607138277.45503,1135,18.257797241210938
1607138311.540735,1137,35.40020751953125
1607138650.560108,1157,18.761457443237305
1607138667.52923,1158,29.724306106567383
1607138735.353952,1162,23.95237159729004
1607138752.275225,1163,20.004531860351562
1607138769.265609,1164,29.26165199279785
1607139075.009439,1182,17.051963806152344
1607139278.640813,1194,25.87987518310547
1607139295.629652,1195,24.511211395263672
1607139397.387522,1201,19.874570846557617
1607139431.357247,1203,32.14585876464844
1607139516.189381,1208,22.89345932006836
1607139957.808647,1234,44.8966064453125
1607139991.735707,1236,29.235820770263672
1607140161.543154,1246,29.342456817626953
1607140348.11643,1257,20.792604446411133
1607140399.121824,1260,21.677452087402344
1607140450.007177,1263,15.936760902404785
1607140670.38271,1276,16.279109954833984
1607140789.243474,1283,29.334644317626953
1607140891.198092,1289,40.38500213623047
1607141010.193481,1296,19.928951263427734
1607141112.102604,1302,23.339988708496094
1607141281.718896,1312,14.843225479125977
1607141366.424752,1317,15.388047218322754
1607141383.371627,1318,28.239009857177734
1607141434.419106,1321,22.451068878173828
1607141536.376958,1327,34.029197692871094
1607141570.304838,1329,15.305842399597168
1607141621.112594,1332,15.722204208374023
1607141672.052288,1335,18.182540893554688
1607141723.042611,1338,14.79044246673584
1607141739.991838,1339,18.72393035888672
1607142046.5329,1357,11.887739181518555
1607142301.715202,1372,19.111621856689453
1607142556.852925,1387,22.79613494873047
1607142607.932816,1390,15.080628395080566
1607142624.989053,1391,39.056976318359375
1607142658.979419,1393,24.095382690429688
1607142675.892943,1394,16.86119270324707
1607143050.656125,1416,18.523880004882812
1607143136.262323,1421,13.201416969299316
1607143187.495128,1424,28.393972396850586
1607143255.945795,1428,24.423429489135742
1607143290.289454,1430,16.567960739135742
1607143358.625994,1434,20.728599548339844
1607143426.769014,1438,25.631837844848633
1607143495.126296,1442,22.44806671142578
1607143922.101522,1467,16.498899459838867
1607143939.181164,1468,20.421810150146484
1607144126.829729,1479,32.850093841552734
1607144263.321144,1487,31.17791175842285
1607144280.373322,1488,27.64325714111328
1607144331.507842,1491,22.23802947998047
1607144365.538359,1493,13.718090057373047
1607144382.598067,1494,21.946321487426758
1607144535.943703,1503,20.72771453857422
1607144655.435346,1510,21.38613510131836
1607144911.69577,1525,18.421876907348633
1607144928.730065,1526,21.79000473022461
1607144980.068022,1529,25.374217987060547
1607145390.195915,1553,21.578092575073242
1607145407.295992,1554,17.461454391479492
1607145441.561991,1556,14.174365043640137
1607145561.050688,1563,18.56043243408203
1607145680.374143,1570,24.898788452148438
1607145697.386272,1571,18.0399227142334
1607145852.063636,1580,15.25407886505127
1607145920.468253,1584,19.630754470825195
1607145954.638828,1586,26.968690872192383
1607146022.877634,1590,27.886241912841797
1607146176.186311,1599,16.081918716430664
1607146295.300623,1606,21.93178367614746
1607146312.300249,1607,26.394617080688477
1607146397.6848,1612,31.81633186340332
1607146534.029653,1620,15.104546546936035
1607146687.446593,1629,18.153249740600586
1607146704.460012,1630,25.586599349975586
1607146772.584973,1634,22.469165802001953
1607146858.17487,1639,20.285573959350586
1607146909.419159,1642,16.953269958496094
1607146943.453606,1644,14.340386390686035
1607146994.558795,1647,29.5344181060791
1607147045.559006,1650,22.631132125854492
1607147113.766617,1654,13.205851554870605
1607147250.09894,1662,20.89518165588379
1607147386.703757,1670,20.698333740234375
1607147454.897934,1674,28.743759155273438
1607147506.234436,1677,17.750362396240234
1607147625.818329,1684,23.806644439697266
1607147779.340457,1693,22.98164939880371
1607147847.777682,1697,21.178787231445312
1607147864.799001,1698,19.830238342285156
1607147881.827805,1699,14.97641372680664
1607147916.139509,1701,18.58144187927246
1607147967.272266,1704,22.221969604492188
1607148086.9188,1711,15.409494400024414
1607148240.514783,1720,25.325841903686523
1607148411.277985,1730,10.061018943786621
1607148479.399031,1734,19.881330490112305
1607148513.506261,1736,18.685087203979492
1607148564.719195,1739,31.2053279876709
1607148649.956516,1744,15.382729530334473
1607148701.271964,1747,17.431747436523438
1607148718.287594,1748,19.591970443725586
1607148735.294823,1749,28.529464721679688
1607148820.684755,1754,29.992210388183594
1607149059.915846,1768,17.33346939086914
1607149213.961227,1777,14.997689247131348
1607149316.563996,1783,12.108177185058594
1607149435.818271,1790,35.36280822753906
1607149452.955874,1791,16.87952423095703
1607149606.78596,1800,15.544636726379395
1607149727.60891,1807,15.979256629943848
1607149933.288049,1819,16.44272232055664
1607150053.387561,1826,24.633264541625977
1607150087.732103,1828,23.30605697631836
1607150156.164951,1832,20.97933006286621
1607150327.514717,1842,18.58098602294922
1607150344.709493,1843,23.986371994018555
1607150396.29462,1846,16.543310165405273
1607150482.390535,1851,19.011123657226562
1607150551.14743,1855,15.463528633117676
1607150773.883213,1868,26.466793060302734
1607150825.353935,1871,18.469497680664062
1607150928.271933,1877,21.65760040283203
1607150945.260764,1878,28.161930084228516
1607150962.436968,1879,25.990070343017578
1607151544.972377,1913,14.846384048461914
1607151647.620146,1919,16.618776321411133
1607151767.501398,1926,26.62405014038086
1607151870.364078,1932,22.510557174682617
1607151939.097087,1936,15.462919235229492
1607151973.112434,1938,12.765053749084473
1607152007.445632,1940,22.400650024414062
1607152110.402771,1946,11.288297653198242
1607152161.820619,1949,14.317882537841797
1607152196.192416,1951,13.433666229248047
1607152247.663947,1954,16.223926544189453
1607152299.176723,1957,20.79121971130371
1607152350.899887,1960,17.329513549804688
1607152505.459065,1969,20.543357849121094
1607152539.66554,1971,18.758010864257812
1607152745.643171,1983,20.379940032958984
1607152762.829755,1984,32.044677734375
1607152779.966073,1985,15.106256484985352
1607153020.300884,1999,17.744382858276367
1607153089.099704,2003,17.132694244384766
1607153157.716029,2007,13.56408405303955
1607153226.36808,2011,18.233190536499023
1607153295.196477,2015,31.045154571533203
1607153329.546103,2017,19.199615478515625
1607153364.013986,2019,12.20020580291748
1607153502.535864,2027,15.0841703414917
1607153536.875715,2029,18.9095516204834
1607153588.273894,2032,17.64992904663086
1607153639.88108,2035,19.64026641845703
1607153691.495355,2038,19.477859497070312
1607153725.8608,2040,15.210672378540039
1607153777.310718,2043,12.08404541015625
1607154103.666013,2062,16.74822235107422
1607154310.618132,2074,16.444454193115234
1607154327.835708,2075,16.995256423950195
1607154345.044355,2076,9.548446655273438
1607154379.361244,2078,14.927810668945312
1607154396.565528,2079,12.154458999633789
1607154430.968007,2081,13.924911499023438
1607154465.385066,2083,7.340978145599365
1607154533.755709,2087,20.08367156982422
1607154602.508889,2091,14.803032875061035
1607154688.383078,2096,18.870697021484375
1607154722.735122,2098,18.009292602539062
1607154843.17484,2105,14.592538833618164
1607154894.817464,2108,14.382330894470215
1607154981.043605,2113,15.66330623626709
1607155049.947904,2117,20.245750427246094
1607155135.972011,2122,20.34828758239746
1607155170.378978,2124,21.111770629882812
1607155187.555907,2125,18.08917236328125
1607155445.519598,2140,24.63442039489746
1607155497.096815,2143,24.14754867553711
1607155548.75047,2146,12.057439804077148
1607155565.953998,2147,13.790796279907227
1607155634.888317,2151,17.126415252685547
1607155669.399462,2153,19.684925079345703
1607155755.426665,2158,15.79819107055664
1607155893.356123,2166,9.66486644744873
1607155910.595916,2167,20.036357879638672
1607155979.239848,2171,20.731311798095703
1607156013.560306,2173,17.404582977294922
1607156047.828534,2175,17.715368270874023
1607156116.676012,2179,20.338491439819336
1607156288.667914,2189,6.399526119232178
1607156323.101453,2191,14.41954231262207
1607156357.567676,2193,16.838449478149414
1607156374.789703,2194,20.49797821044922
1607156443.71662,2198,12.10282039642334
1607156495.215277,2201,24.3275203704834
1607156633.056351,2209,14.785079956054688
1607156701.693723,2213,18.197734832763672
